id,original_post_id,undergrad_gpa,undergrad_gpa_out_of,grad_gpa,grad_gpa_out_of,gre_quant,gre_verbal,gre_writing,undergrad_institution,grad_institution,undergrad_major,grad_major,math_courses,phd_course_taken,research_experience,publications,work_experience_years,letters_of_rec,schools_applied,schools_accepted,schools_rejected,schools_waitlisted,funding_status,extracted_at
11,161,,,,,,,,,,,,[],False,,,,,['PSU'],['Masters at PSU'],['PSU PhD'],[],,2025-12-10 17:32:36.072920
12,167,,,,,,,,,,,,[],False,,,,,['PSU'],['PSU Masters'],['PSU PhD'],[],,2025-12-10 17:32:36.072920
13,209,,,,,,,,,,,,[],False,,,,,"['Chicago Harris', 'MIT', 'Yale', 'HKS']","['MIT', 'Yale']",['Chicago Harris'],['HKS'],,2025-12-10 17:32:36.072920
14,211,,,,,,,,,,,,[],False,,,,,"['Chicago Harris', 'MIT', 'Yale', 'HKS']","['MIT', 'Yale']",['Chicago Harris'],['HKS'],,2025-12-10 17:32:36.072920
15,216,,,,,,,,,,,,[],False,,,,,"['Yale', 'MIT']",[],"['Yale', 'MIT']",[],,2025-12-10 17:32:36.072920
16,229,,,,,,,,,,,,[],,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
17,260,,,,,,,,,,,,[],,,,,,['econ program'],[],[],[],,2025-12-10 17:32:36.072920
18,261,,,,,,,,,,,,[],,,,,,[],[],[],[],fully-funded,2025-12-10 17:32:36.072920
19,292,,,,,,,,,,,,[],False,,,,,"['Columbia', 'UC San Diego']",[],[],"['Columbia', 'UC San Diego']",,2025-12-10 17:32:36.072920
20,293,,,,,,,,,,,,[],,,,,,"['Columbia', 'UC San Diego']",[],[],"['Columbia', 'UC San Diego']",,2025-12-10 17:32:36.072920
21,299,,,,,,,,,,,,[],False,True,,1.0,,"['Harvard Kennedy', 'Top 20 Econ programs', '21-30 range Econ programs', '30-50 range program']",[],['12'],['1 T30'],,2025-12-10 17:32:36.072920
22,300,,,,,,,,,,,,[],False,True,,1.0,,"['Harvard Kennedy', 'Top 20 Econ programs', '21-30 range Econ programs', '30-50 range program']",[],['12'],['1 T30'],,2025-12-10 17:32:36.072920
23,301,,,,,,,,,,,,[],,True,,,,"['Harvard Kennedy', 'Top 20 Econ programs', 'Econ programs in 21-30 range', 'program in 30-50 range']",[],['12'],['1 T30'],,2025-12-10 17:32:36.072920
24,8716,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
25,41171,3.67,4.0,3.85,4.0,165.0,163.0,,University of California,,Economics,Math & Stats,"['Real Analysis', 'Mathematical Statistics', 'Probability Theory', 'Stochastic Simulation', 'Generalized Linear Models', 'Intro to Operations Research', 'Linear Algebra', 'Calculus 3']",False,True,1.0,2.0,UC Econ Prof who has Ph.D in econ from MIT and was my thesis advisor; graduate Math prof with a Ph.D in math from Princeton; Economist who is my research supervisor at a federal agency.,"['University of Michigan-Ann Arbor', 'University of Chicago', 'Duke University', 'University of Wisconsin-Madison', 'New York University', 'Boston University', 'University of Texas at Austin', 'University of Washington', 'University of California, San Diego', 'University of California, Berkeley', 'Stanford University']",[],[],[],,2025-12-10 17:32:36.072920
26,313,,,,,,,,,,,,[],,,,,,['NYU'],[],[],['NYU'],,2025-12-10 17:32:36.072920
27,344,,,,,,,,,,,,[],False,,,,,"['NYU', 'UCLA']",[],[],['NYU'],,2025-12-10 17:32:36.072920
28,345,,,,,,,,,,,,[],False,,,,,"['NYU', 'UCLA']",[],[],['NYU'],,2025-12-10 17:32:36.072920
29,402,,,,,,,,,,,,[],,,,,,[],[],[],['University of Michigan'],,2025-12-10 17:32:36.072920
30,381,,,,,,,,,,,,[],,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
31,382,,,,,,,,,,,,[],,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
32,407,,,,,,,,,,,,[],,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
33,409,,,,,,,,,,,,[],False,,,,,"['NYU', 'Wisconsin']",[],[],[],,2025-12-10 17:32:36.072920
34,416,,,,,,,,,,,,[],False,,,,,"['University of Wisconsin-Madison', 'University of California, San Diego', 'University of California, Los Angeles', 'New York University', 'University of Michigan']",[],"['University of Wisconsin-Madison', 'University of California, San Diego', 'University of California, Los Angeles']",['University of Michigan'],,2025-12-10 17:32:36.072920
35,417,,,,,,,,,,,,[],,,,,,"['University of Wisconsin-Madison', 'University of California, San Diego', 'University of California, Los Angeles', 'New York University', 'University of Michigan']",[],"['University of Wisconsin-Madison', 'University of California, San Diego', 'University of California, Los Angeles']",['University of Michigan'],,2025-12-10 17:32:36.072920
36,466,3.8,4.0,,,,,,Top US University (Global Campus),Top Master's in Economics (Latin America),Economics,Economics,"['Calculus', 'Linear Algebra', 'Multivariable Calculus', 'Real Analysis']",False,True,,1.0,,"['MIT', 'Harvard']",[],[],[],,2025-12-10 17:32:36.072920
37,468,3.86,4.0,3.66,4.0,165.0,,,noname school,not top EU master,Economics,Economics,"['Linear Algebra', 'Mathematical Analysis', 'Probability Theory', 'Mathematical Statistics']",True,True,,,very good letters from two professors,[],[],[],[],,2025-12-10 17:32:36.072920
38,906,,,3.7,4.0,,,,,,,Applied Economics,[],False,True,3.0,2.0,,[],[],[],[],,2025-12-10 17:32:36.072920
39,41172,4.0,4.0,,,167.0,163.0,5.0,Large state school,,Economics,,"['Calculus I', 'Calculus II', 'Calculus III', 'Linear Algebra', 'Intro DEs', 'Discrete Math', 'Foundations of Analysis I', 'Foundations of Analysis II', 'Real Analysis', 'Probability (calc-based)', 'Mathematical Stats I', 'Mathematical Stats II']",True,True,1.0,,"Two from econ faculty, one from math department","['UCD', 'UCSB', 'MSU', 'UM', 'UIUC', 'UIC', 'NIU', 'IU', 'UND', 'UK', 'OSU', 'PU']",[],[],[],Will not attend without funding,2025-12-10 17:32:36.072920
40,469,3.7,4.0,,,,,,internationally unknown Mexican university,,Economics,,"['Algebra', 'Linear Algebra', 'Differential Calculus', 'Multivariate Differential Calculus', 'Integral Calculus', 'Probability', 'Statistics', 'Dynamic Optimization']",False,True,,2.0,"thesis advisor (UCLA graduate, International Finance professor), director of my university’s econ research center (U of Washington graduate, Macroeconometrics professor), prof I RA’d for (Algebra and Linear Algebra professor)","['Emory', 'Oregon', 'Brandeis', 'Rochester', 'Georgia', 'Bonn', 'BSE', 'CEMFI', 'Paris-Dauphine']",[],[],[],,2025-12-10 17:32:36.072920
41,470,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
42,471,3.83,4.0,3.93,4.0,170.0,155.0,3.5,Internationally unknown Asian University,Top 10 US Econ MA,,,"['Calculus 1', 'Calculus 2', 'Calculus 3', 'Linear Algebra', 'Probability', 'Statistics', 'Real Analysis']",False,True,,,"1 prof from another university whom I did ra, 1 ra emeritus prof, 1 ap of my predoc","['BSE/UPF', 'Geneva', 'York', 'Stoney Brook', 'UNC', 'Warwick', 'Notre Dame', 'Georgetown', 'BC', 'UVA', 'UZH', 'CEMFI', 'Bocconi', 'UC3M', 'UMN', 'NYU', 'Columbia', 'Upenn', 'BU', 'Rice', 'ASU', 'UA', 'UCSD', 'UCD', 'Duke', 'UW', 'UMD', 'TAMU', 'USC', 'PSU', 'TSE', 'SU', 'Bonn', 'MSU', 'UPitt', 'SSE', 'Syracuse', 'Purdue']","['BSE/UPF', 'Geneva', 'York', 'Stoney Brook']","['UMN', 'NYU', 'Columbia', 'Upenn', 'BU', 'Rice', 'ASU', 'UA', 'UCSD', 'UCD', 'Duke', 'UW', 'UMD', 'TAMU', 'USC', 'PSU', 'TSE', 'SU', 'Bonn']","['UNC', 'Warwick', 'Notre Dame', 'Georgetown', 'BC', 'UVA', 'UZH', 'CEMFI', 'Bocconi', 'UC3M']",,2025-12-10 17:32:36.072920
43,472,3.76,4.0,3.8,4.0,170.0,164.0,4.5,International Top 200,International,"Economics, Political Science, Philosophy",Economics,['math camp'],True,True,,4.0,"2 from professors I RA'd for, 1 from another professor I took a course with","['Northwestern', 'UCSD', 'NYU', 'Harvard', 'MIT', 'Chicago', 'Upenn', 'Columbia', 'Berkeley', 'Stanford', 'Yale', 'Princeton', 'LSE']","['Northwestern', 'UCSD', 'NYU']","['Harvard', 'MIT', 'Chicago', 'Upenn', 'Columbia', 'Berkeley', 'Stanford', 'Yale', 'Princeton', 'LSE']",['NYU'],,2025-12-10 17:32:36.072920
44,473,3.6,4.0,3.98,4.0,168.0,158.0,4.0,SU,Johns Hopkins University,Finance,Economics,"['Real Analysis', 'Linear Algebra', 'Differential Equations', 'Multivariate Calculus', 'Functional Analysis', 'Dynamic Programming', 'Stochastic Calculus', 'Measure Theory']",False,True,1.0,,"1 prof from JHU, 2 profs from BAUM TENPERS Inst, another prof from JHU","['Rutgers', 'Georgia State University', 'Fordham', 'Texas']","['Rutgers', 'Georgia State University', 'Fordham']","['All US top 20', 'UK top 5']",['WUSL'],,2025-12-10 17:32:36.072920
45,474,3.71,4.0,,,170.0,162.0,6.0,Top 50 US Undergrad,,Economics,,"['Multivariable Calculus', 'Linear Algebra', 'Intermediate Linear Algebra', 'Ordinary Differential Equations', 'Abstract Algebra', 'Real Analysis', 'Statistical Data Analysis', 'Probability', 'Mathematical Statistics']",False,True,,2.0,Undergrad thesis advisor and two Fed economists,"['Minnesota', 'Maryland', 'Boston College', 'Rochester', 'UVA', 'Indiana', 'UCSB', 'UCLA', 'Princeton', 'Chicago', 'Yale', 'Northwestern', 'Penn', 'NYU', 'Michigan', 'Wisconsin', 'Cornell', 'Brown', 'Duke', 'UCSD', 'BU', 'JH', 'USC', 'Penn State']","['Minnesota', 'Maryland', 'Boston College', 'Rochester', 'UVA', 'Indiana', 'UCSB']","['Princeton', 'Chicago', 'Yale', 'Northwestern', 'Penn', 'NYU', 'Michigan', 'Wisconsin', 'Cornell', 'Brown', 'Duke', 'UCSD', 'BU', 'JH', 'USC', 'Penn State']",['UCLA'],full funding,2025-12-10 17:32:36.072920
46,475,8.5,10.0,74.0,100.0,167.0,160.0,4.0,Top 20 European University,Top 10 European University,Economics,Economics,"['standard intro to math courses', 'pre-sessional maths', 'advanced maths class', 'differential equations', 'linear algebra']",False,True,,1.0,"1 from predoc (finance prof), 1 from master dissertation supervisor, 1 from undergrad dissertation supervisor","['UCL', 'CEMFI', 'Bocconi', 'UC3M', 'Mannheim', 'Bonn', 'Imperial', 'Toronto', 'Toulouse', 'European University Institute', 'Warwick', 'Oxford', 'LSE', 'Zurich', 'BGSE/UPF', 'Stockholm', 'British Columbia', 'Boston', 'Northwestern', 'KU Leuven', 'Queen Mary']","['UCL', 'CEMFI', 'Bocconi', 'UC3M', 'Mannheim', 'Bonn', 'Imperial', 'Toronto']","['Warwick', 'Oxford', 'LSE', 'Zurich', 'BGSE/UPF', 'Stockholm', 'British Columbia', 'Boston', 'Northwestern', 'KU Leuven']",['Toulouse'],All with funding except for the first year at UCL,2025-12-10 17:32:36.072920
47,476,3.92,4.0,,,170.0,163.0,5.0,US News Top 15,,Economics,,"['Calc I', 'Calc II', 'Calc III', 'Linear Algebra', 'Intro to Math Reasoning', 'Real Analysis', 'Intro to Op. Research', 'Probability', 'Math Stats', 'Numerical Analysis', 'Intro to Math Research', 'Topology', 'Problem Solving in Math', 'Intro to Stoch. Processes', 'Math Meth. in Fin. Econ', 'Algebra']",True,True,,2.0,Two well-known professors from predoc. One tenured professor from undergrad. All super positive.,"['Berkeley', 'Stanford', 'Columbia', 'UPenn', 'UChicago', 'Harvard', 'MIT', 'Princeton', 'LSE', 'Oxford', 'Chicago Booth', 'Northwestern', 'Yale SOM', 'NYU Stern', 'UCLA Anderson', 'HBS', 'Sloan', 'Stanford GSB']","['Berkeley', 'Stanford', 'Columbia', 'UPenn', 'Chicago Booth', 'Northwestern', 'Yale SOM', 'NYU Stern', 'UCLA Anderson']","['Harvard', 'MIT', 'Princeton', 'LSE', 'Oxford', 'HBS', 'Sloan', 'Stanford GSB']",['UChicago'],,2025-12-10 17:32:36.072920
48,477,3.4,4.0,3.5,4.0,162.0,156.0,6.0,Top 5 US uni,top int'l uni (UK),ARE,ARE,"['calc I', 'calc II', 'stats', 'linear algebra', 'real analysis', 'grad-level stats for economics', 'grad math bootcamp']",False,True,,2.0,"2 econ faculty from top 5 int'l uni (pre-doc), 1 ARE faculty (MSc)","['Imperial College', 'Boston College', 'UC Santa Cruz', 'University of Illinois ARE', 'UVA', 'Berkeley ARE', 'UC Davis', 'UCSD', 'Minnesota', 'Wisconsin', 'Maryland ARE', 'Tufts', 'Warwick', 'UBC', 'Brown', 'USC', 'Toronto', 'UT Austin']","['Imperial College', 'Boston College', 'UC Santa Cruz', 'University of Illinois ARE']","['Berkeley ARE', 'UC Davis', 'UCSD', 'Minnesota', 'Wisconsin', 'Maryland ARE', 'Tufts', 'Warwick', 'UBC', 'Brown', 'USC']",['UVA'],all funded,2025-12-10 17:32:36.072920
49,9001,3.7,4.0,,,,,,Utah State University,,Economics,,"['Calculus I', 'Calculus II', 'Calculus III', 'Linear Algebra', 'Differential Equations', 'Probability Theory', 'Foundations of Analysis', 'Mathematical Statistics']",False,True,0.0,1.0,"one from Applied Econometrics professor, one from Development Economics professor, one from Mathematical Economics professor","['University of Illinois', 'University of Notre Dame', 'Purdue University', 'Texas A&M University', 'University of Colorado Boulder', 'University of Arizona', 'University of California - Irvine', 'University of Oregon', 'University of Kansas', 'Vanderbilt University']",[],[],[],,2025-12-10 17:32:36.072920
50,478,,,9.0,10.0,164.0,164.0,6.0,,,Accounting,Economics,['Math for Economics'],False,True,,3.0,3 economics faculty at top US schools - I was RA on their projects,"['UC Irvine', 'Boston College', 'UC Santa Cruz', 'UC Santa Barbara', 'Chicago Harris', 'UC Davis', 'UBC']","['UC Irvine', 'Boston College', 'UC Santa Cruz']","['Chicago Harris', 'UC Davis', 'UBC']",['UC Santa Barbara'],,2025-12-10 17:32:36.072920
51,479,3.8,4.0,3.9,4.0,170.0,150.0,3.5,,Johns Hopkins University,,Economics,"['Calculus 1', 'Calculus 2', 'Calculus 3', 'Linear Algebra', 'Probability', 'Statistics', 'Real Analysis']",False,True,,,"1 prof from another university whom I did ra, 1 ra emeritus prof, 1 ap of my predoc",[],[],[],[],,2025-12-10 17:32:36.072920
52,481,3.5,4.0,3.8,4.0,165.0,158.0,5.5,Top 10 US University,Top 5 International University (UK),Agricultural Economics,Environmental Economics,"['Calculus I', 'Calculus II', 'Probability & Statistics', 'Linear Algebra', 'Real Analysis', 'Econometrics', 'Advanced Math for Economics']",False,True,,2.0,"1 Economics Faculty (Top 10 US Uni), 1 Environmental Economics Faculty (Top 5 UK Uni), 1 Environmental Policy Researcher (NGO)",[],[],[],[],,2025-12-10 17:32:36.072920
53,482,3.9,4.0,3.75,4.0,,,,T2 Canadian university,T1 Canadian school,Economics,Economics,"['Calculus 1', 'Calculus 2', 'Advanced Calculus 1', 'Advanced Calculus 2', 'Linear Algebra', 'Intro to Optimization', 'Differential Equations', 'Statistical Methods', 'Real Analysis']",False,True,,2.0,"Master’s supervisor (Ivy league grad), Finance prof, undergraduate prof (Caltech grad)",[],[],[],[],,2025-12-10 17:32:36.072920
54,490,3.85,4.0,,,,,,,,Math,,"['Intermediate Micro', 'Intermediate Macro', 'Econometrics', 'Linear Programming', 'Linear Algebra', 'Abstract Algebra', 'Stochastic Processes', 'Real Analysis', 'Complex Analysis', 'Functional Analysis', 'Measure Theory']",False,True,,0.0,,"['UVA', 'UCSB', 'Georgetown', 'USC', 'CU Boulder']",[],[],[],,2025-12-10 17:32:36.072920
55,923,,,,,,,,University of Minnesota,,Economics,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
56,2515,,,,,,,,,,,,[],,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
57,507,3.53,4.0,3.42,4.0,,,,Russel university in London,"lower ranked, non-Russel university in London","Philosophy, Politics, Economics",Economics,[],False,False,,3.0,,"['UCLA', 'UC Santa Barbara', 'University of San Diego', 'UC Santa Cruz', 'Arizona State University']",[],[],[],,2025-12-10 17:32:36.072920
58,511,,,,,,,,,Rutgers,,,[],False,,,,,"['Rutgers', 'MSU', 'Purdue']",['Rutgers'],[],[],with funding,2025-12-10 17:32:36.072920
59,530,3.69,4.0,,,,,,,,Business Administration,,[],False,False,,0.0,,[],[],[],[],,2025-12-10 17:32:36.072920
60,531,3.5,4.0,,,,,,none that you might recognize,,Econ,,[],False,True,,,,[],[],[],[],,2025-12-10 17:32:36.072920
61,535,3.94,4.0,3.95,4.0,168.0,153.0,,University of Dhaka,The University of Manchester,Finance,Finance,"['Calculus I', 'Calculus II', 'Ordinary Differential Equations', 'Partial Differential Equations', 'Integral Equations', 'Numerical Analysis', 'Mathematical Statistics', 'Business Statistics', 'Matrix theory', 'Linear Algebra']",False,True,1.0,1.0,"Supervisor from home country, one course teacher, ex-chairman of the department",[],[],[],[],,2025-12-10 17:32:36.072920
62,558,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
63,551,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
64,824,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
65,553,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
66,559,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
67,574,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
68,579,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
69,640,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
70,661,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
71,669,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
72,881,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
73,1230,,,,,,,,,,,,[],,,,,,['University of Minnesota'],[],[],['University of Minnesota'],,2025-12-10 17:32:36.072920
74,687,3.9,4.0,3.75,4.0,,,,T2 Canadian university,T1 Canadian school,Economics,Economics,"['Calculus 1', 'Calculus 2', 'Advanced Calculus 1', 'Advanced Calculus 2', 'Linear Algebra', 'Intro to Optimization', 'Differential Equations', 'Statistical Methods', 'Real Analysis']",False,True,,2.0,"Master’s supervisor (Ivy league grad), Finance prof, undergraduate prof (Caltech grad)",[],[],[],[],,2025-12-10 17:32:36.072920
75,753,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
76,755,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
77,758,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
78,765,,,,,167.0,164.0,5.5,,,,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
79,766,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
80,822,,,,,,,,,,Mathematics,,"['Calculus', 'Linear Algebra', 'Real Analysis', 'Combinatorics', 'Probability Theory']",False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
81,14830,3.64,4.0,3.64,4.0,167.0,160.0,5.0,Big 10,HYPS,Pure Mathematics & Economics,Public Policy,"['Calculus', 'Linear Algebra']",False,True,,6.0,,[],[],[],[],,2025-12-10 17:32:36.072920
82,811,3.71,4.0,,,,,,,,,,"['Calculus 1', 'Calculus 2', 'Statistics 1', 'Statistics 2', 'Linear Algebra', 'Calculus 3']",False,True,1.0,0.0,,[],[],[],[],,2025-12-10 17:32:36.072920
83,816,3.01,4.0,,,,,,Penn State,,Mathematics and Economics,,"['Calculus I', 'Calculus II', 'Calculus III', 'Discrete Math', 'Matrices', 'Differential Equations', 'Game Theory', 'Real Analysis', 'Linear Algebra', 'Linear Programs', 'Intro to Mathematical Statistics', 'Stochastic Modeling', 'Combinatorics', 'Intro To Probability Theory']",False,False,,1.0,"Can get at least one outstanding one from mathematics professor who has published books recently, can get two-four good ones in either math or econ, all from Penn State professors","['Pitt', 'USF']",[],[],[],,2025-12-10 17:32:36.072920
84,817,,,,,,,,,,,,[],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
85,818,3.01,4.0,,,,,,Penn State,,"Mathematics, Economics",,[],False,,,1.0,"2 strong, 1 decent",[],[],[],[],,2025-12-10 17:32:36.072920
86,819,3.01,4.0,,,,,,Penn State,,Mathematics and Economics,,"['Calculus I', 'Calculus II', 'Calc III', 'Discrete Math', 'Matrices', 'Differential Equations', 'Game Theory', 'Real Analysis', 'Linear Algebra', 'Linear Programs', 'Intro to Mathematical Statistics', 'Stochastic Modeling', 'Combinatorics', 'Intro To Probability Theory']",False,False,,,"Can get at least one outstanding one from mathematics professor who has published books recently, can get two-four good ones in either math or econ, all from Penn State professors","['Pitt', 'USF']",[],[],[],,2025-12-10 17:32:36.072920
87,823,,,,,,,,,,math,,"['calculus', 'linear algebra', 'analysis', 'combinatorics', 'probability theory']",False,,,,,[],[],[],[],no funding,2025-12-10 17:32:36.072920
88,2838,,,,,,,,,,,,[],,,,,,[],[],[],['Yale'],,2025-12-10 17:32:36.072920
89,825,3.3,4.0,,,,,,Penn State University,,,,['Calculus 1'],False,,,,,[],[],[],[],,2025-12-10 17:32:36.072920
90,835,2.67,4.0,,,,,,University of Ghana,,Economics and Mathematics,,[],False,,,1.0,,[],[],[],[],,2025-12-10 17:32:36.072920
